item,frequency(N30K600),frequency(N60K1200),frequency(N90K1800),frequency(N120K2400),frequency(N150K3000),frequency(N180K3600),frequency(N210K4200),frequency(N240K4800)
Celebrity Pregnancies,105,30,50,25,20,10,50,15
Celebrity Weddings of 2014,15,5,5,5,5,5,5,5
Fashion Designers,25,20,20,15,15,20,20,15
IPO's of 2014,30,10,10,10,5,10,10,10
Losses of 2014,5,5,5,5,5,5,5,5
MLB Players,65,55,30,25,15,30,30,20
Natural Events,20,20,15,20,15,15,15,20
NBA Players,60,60,30,20,25,30,15,20
NFL Players,35,35,20,30,15,20,25,15
Podcasts,5,5,5,5,5,5,5,5
Red Carpet Appearances,55,15,20,10,35,15,10,5
Selfies,35,35,30,30,20,30,20,25
Workouts and Exercises,25,20,20,20,25,20,25,20
Jugadores uruguayos en el Mundial,55,20,15,20,5,5,15,20
¿Qué es...,15,15,5,15,5,5,5,5
Phim Hoạt hình,5,5,5,5,5,5,5,5
Phim Truyền hình,65,45,20,25,40,5,15,25
Show Truyền hình,45,15,35,10,5,10,10,5
Thể thao,65,55,10,50,45,10,5,45
Trò chơi online,45,20,25,10,5,20,10,10
Xu hướng,35,25,15,5,5,5,10,5
Điện thoại,20,15,5,5,5,5,10,5
Global Sporting Events,60,30,35,30,15,30,20,15
Consumer Tech,165,135,60,35,50,35,50,35
News Items of 2015,30,20,25,20,10,20,20,10
Die Suchbegriffe des Jahres,45,25,15,15,10,10,25,15
Schlagzeilen des Jahres,100,30,90,20,10,20,10,20
Politikerinnen & Politiker,25,25,10,20,5,10,5,15
Stars Österreich,20,10,15,10,10,10,5,10
Was sind...,50,15,15,5,10,5,15,5
Wie mache ich...,10,5,5,5,5,5,5,5
Feste & Festivals,25,15,20,5,5,10,10,5
Запрос года,55,50,40,10,15,40,15,10
Персона года,50,35,40,35,45,35,35,35
Покупка года,30,30,30,30,30,30,30,30
Сериал года,60,55,35,40,30,35,35,35
Фильм года,55,55,35,35,35,35,35,35
Les recherches « Comment ça marche » en progression,70,25,10,25,10,10,10,15
Les recherches « Qu’est-ce que » en progression,65,45,30,25,40,30,15,25
Trending Belgische persoonlijkheden / Les personnalités belges en progression,20,20,20,20,15,20,15,20
Trending evenementen / Les événements en progression,165,160,125,65,10,125,5,5
Trending persoonlijkheden / Les personnalités en progression,15,5,5,5,5,5,5,5
Trending zoekopdrachten 2015 / Les recherches en progression en 2015,30,10,20,10,5,10,5,5
Trending zoekopdrachten overlijdens / Les recherches en progression sur les décès,45,15,10,5,5,10,5,5
Trending zoekopdrachten ‘hoe werkt het’,25,15,15,10,15,10,10,5
Trending zoekopdrachten ‘Wat is’,40,25,5,20,10,5,25,5
Atores,75,45,20,20,10,10,45,20
Atrizes,30,30,10,20,10,10,10,20
Carros,40,25,25,10,10,10,10,10
Como fazer...,30,30,20,20,10,20,10,20
Esportistas,40,30,25,20,20,25,15,15
Grávidas,40,20,10,5,10,5,15,5
Letras,20,5,15,5,5,5,5,5
Músicos,20,20,20,20,20,20,15,20
O que é...,25,15,10,10,15,10,10,10
Pessoas,35,30,35,25,10,30,10,15
Receitas,45,15,25,15,20,15,15,15
Canadian Politicians,30,20,20,20,25,10,10,10
Economy Searches,25,15,5,10,5,5,20,5
Hechos Noticiosos,45,30,15,15,25,15,15,15
Emergencias,75,45,15,40,5,15,10,10
Nos dejaron...,35,15,15,10,5,10,5,10
Los Favoritos de la TV,45,10,10,5,5,5,15,5
Términos de mayor tendencia en crecimiento,30,15,15,10,10,10,15,10
Cómo hacer,35,30,35,25,25,30,20,25
Hechos,55,45,20,10,10,10,20,10
Programas de Televisión,35,25,15,20,15,15,10,15
Najčešće pretraživane TV emisije u Hrvatskoj,20,10,10,10,10,10,5,10
Najčešće pretraživano 'gdje je',5,5,5,5,5,5,5,5
Najčešće pretraživano 'kako',45,25,20,5,10,20,5,5
Najčešće pretraživano 'što je',25,10,10,10,15,5,5,10
Největší skokani za rok 2015,35,30,35,5,25,30,5,5
Největší skokani mezi celebritami,30,10,10,5,15,10,5,5
"Největší skokani se slovem ""jak""",80,15,55,5,10,10,10,5
"Největší skokani se slovem ""proč""",45,35,40,10,35,35,5,10
"Největší skokani se spojením ""co je""",25,20,20,20,5,20,5,5
"Největší skokani se spojením ""kde je""",15,10,5,5,15,5,5,5
"Největší skokani se spojením ""kdo je""",35,15,15,10,15,15,5,10
"Největší skokani se spojením ""kdy je""",215,210,30,190,5,25,5,185
Danske kvinder,45,25,10,20,10,5,20,20
Danske mænd,10,10,5,10,10,5,5,5
Søgninger,35,35,20,25,20,20,25,15
Danske politikere,50,10,40,5,15,5,10,5
Danske sportsfolk,50,20,50,10,40,20,10,10
Danske tv-serier,5,5,5,5,5,5,5,5
Hvad...?,30,30,20,20,20,20,20,20
Hvem er...?,30,15,15,10,10,10,15,5
Kalorier i...,75,10,60,10,10,10,5,5
Udenlandske kendte,25,10,10,5,15,10,5,5
الأبحاث,115,60,80,60,65,50,60,45
الأحداث,65,50,40,45,40,35,30,45
الأغاني,55,50,40,50,40,40,40,40
البرامج التليفزيونية,15,15,15,10,10,15,10,10
الشخصيات العامة,45,45,45,45,45,45,45,40
Miten tehdään...?,20,10,20,10,15,10,10,10
Muusikot,20,10,10,10,10,10,10,10
Nousussa olevat,35,20,25,5,10,10,15,5
Näyttelijät,30,10,5,5,10,5,15,5
Pelit,15,10,10,10,10,10,10,10
Poliitikot,70,25,20,20,10,20,15,10
Teknologia,50,20,20,10,10,10,10,10
TV-ohjelmat,15,15,5,10,5,5,5,5
Ulkomaiset henkilöt,15,15,10,5,10,10,5,5
Actualités,45,35,20,10,25,20,10,10
Chanteurs,50,25,15,25,20,10,10,15
Définitions,45,45,20,30,30,20,20,25
Jeux vidéos,155,95,90,45,110,40,10,45
Séries TV,45,15,20,15,10,15,25,5
Week end à ...,55,20,50,20,5,20,20,5
Évènements sportifs,65,15,20,15,15,10,10,10
Schlagzeilen,55,40,40,30,30,35,35,30
Terms,25,25,5,20,10,5,10,5
Ταχύτερα αυξανόμενες αναζητήσεις,50,35,15,10,25,10,20,10
Επικαιρότητα,30,20,15,15,10,15,10,15
Διακοπές,10,10,5,10,10,5,10,10
Εισητήρια,30,15,20,5,5,15,10,5
Πώς να,30,20,5,15,15,5,5,15
Ταινίες,55,55,20,20,15,20,15,20
Ταξίδια στο εξωτερικό,70,55,5,5,5,5,5,5
熱爆本地頭條,60,30,35,30,30,30,30,30
熱爆本地時事人物,20,15,15,15,10,15,10,10
熱爆本地大型活動,70,15,25,5,25,15,10,5
熱爆全球盛事,65,5,10,5,50,5,10,5
熱爆國際時事人物,35,30,25,10,5,25,5,5
熱爆本地娛樂名人,20,5,10,5,10,5,10,5
熱爆流動裝置,45,40,10,15,35,10,10,10
Felkapott keresések,90,75,45,35,40,40,60,35
Felkapott magyar személyek,60,20,35,5,15,15,5,5
Felkapott külföldi személyek,50,35,15,10,25,10,5,10
Felkapott hírek,50,50,5,5,5,5,5,5
Felkapott koncertek,15,5,10,5,10,5,5,5
Felkapott TV-műsorok,5,5,5,5,5,5,5,5
Felkapott... akarok,15,5,5,5,10,5,10,5
Felkapott...ki?kik?,65,20,20,5,5,20,20,5
Penelusuran Terpopuler,55,40,35,40,30,30,30,40
Peristiwa Nasional,110,25,70,25,25,25,25,25
Peristiwa Internasional,75,55,20,25,20,20,15,15
Bagaimana Cara...,20,10,10,5,10,5,5,5
Film Indonesia 2015,40,35,10,10,5,10,10,5
Game,15,10,5,10,10,5,10,5
Meme,70,15,15,10,15,15,10,10
Mode & Kecantikan,50,5,40,5,5,5,5,5
Resep,55,40,40,40,25,35,25,35
Selebriti,25,20,20,20,20,20,20,20
Music Acts,40,20,15,15,15,10,20,10
News Moments,25,10,15,10,15,10,15,10
People of Sport,65,25,65,10,35,25,10,10
Politicans,80,70,15,5,10,10,70,5
Top Ten,50,35,25,25,10,25,10,25
When Is...,25,5,5,5,5,5,5,5
Who Is...,35,5,35,5,15,5,5,5
איך,70,50,30,30,25,30,30,30
אירועי החדשות,50,30,20,30,30,5,5,30
טלויזיה - סדרות ותוכניות,45,25,10,5,10,5,15,5
טלויזיה - ריאליטי,40,20,15,15,15,10,10,10
נפרדנו השנה,60,35,30,25,25,30,30,20
סלבס,20,5,5,5,5,5,5,5
סלולרי,30,25,25,25,10,25,15,25
שירים,15,5,15,5,5,5,5,5
Parole,50,40,35,35,30,30,35,30
Personaggi,50,30,50,30,40,30,30,30
Parole emergenti associate a 2015,20,15,10,10,10,5,10,10
Mete di vacanza,75,45,5,20,30,5,5,20
Biglietti,35,35,25,30,30,25,25,25
話題の人（総合）,355,45,25,25,15,25,30,15
とは,20,10,15,5,5,5,5,5
Manga,65,60,50,15,5,50,5,10
Sushi,55,10,10,5,5,5,10,5
Trending 'How to' Food and Nutrition searches,40,20,20,10,5,10,5,10
Trending 'How to' Love and Relationships searches,10,5,5,5,10,5,5,5
Trending 'How to' Reproductive health searches,25,15,5,15,10,5,5,5
Trending 'What is' Diseases,55,50,40,40,15,40,15,5
Trending Global Personalities,45,20,15,20,15,15,20,20
Trending Kenyan personalities,20,15,5,15,5,5,5,15
Trending Music,25,10,10,5,5,5,5,5
Trending People we lost in 2015,45,35,10,25,5,5,15,25
Trending TV Series,45,5,5,5,10,5,5,5
Financial Terms (Sudut Kewangan),75,70,55,5,55,55,5,5
Mobile Devices (Peranti Mudah Alih),55,30,25,30,20,10,10,30
Games (Permainan),10,10,10,10,10,10,10,10
Sports Competitions (Pertandingan Sukan),15,10,10,5,5,10,10,5
News Searches (Carian Berita),50,35,35,5,5,35,35,5
Músicos y bandas,30,25,15,15,10,10,20,15
¿Cómo?,65,35,25,25,30,20,40,25
¿Qué?,50,30,30,20,35,20,30,20
Trending festivals en events,100,60,10,10,50,5,45,10
Trending persoonlijkheden nationaal,165,30,105,5,110,5,5,5
Trending zoekopdrachten,50,15,15,15,5,15,10,15
Trending zoekopdrachten crisis en conflicten,15,5,5,5,5,5,10,5
Trending zoekopdrachten ‘hoe werkt’,45,20,15,5,15,5,5,5
Trending zoekopdrachten ‘wat is’,10,5,10,5,5,5,10,5
Athlete / Sport Personalities,55,40,40,10,15,35,10,5
Sport Competitions,30,15,10,10,10,5,10,5
TV Series / Movies,20,5,15,5,5,5,10,5
Toppliste,15,15,10,10,5,10,5,10
Emoji,85,40,15,40,40,15,5,15
Hva betyr...?,30,25,10,25,5,5,10,20
Hva skjer...?,30,10,10,10,5,10,5,5
Hva...?,55,50,10,15,35,5,5,10
Håndarbeid,170,165,15,120,10,10,5,120
Idrettspersonligheter,55,45,10,20,10,10,10,15
Jeg-vil-vite,10,5,10,5,5,5,5,5
Oppskrifter,45,40,30,25,30,30,25,25
Oppskrifter - søte saker,35,15,15,10,20,10,5,10
Podcast,35,20,25,20,5,15,5,10
Politikere,50,25,20,10,5,10,5,10
Politiske partier,65,45,35,15,5,30,10,5
På nett,75,55,20,30,20,20,15,5
På TV,25,20,10,10,15,10,10,5
Spill,20,10,15,10,5,10,5,5
Spørsmål om skjønnhet,45,35,30,10,10,25,5,10
Female Personalities,70,45,25,25,20,25,20,25
Male Personalities,75,20,20,20,45,20,20,20
Songs (Lyrics),85,35,25,10,30,25,15,10
Local Vacation Destinations,35,5,5,5,5,5,5,5
International Vacation Destinations,105,70,75,10,5,70,5,5
Where is...?,65,55,25,40,45,25,30,40
Who is...?,60,55,40,50,15,40,20,30
"Tematy, o których się mówiło",20,15,15,10,15,10,10,10
Top de pesquisas gerais,15,10,15,10,5,10,10,10
Figuras publicas,30,20,10,10,5,10,10,5
Concerte,40,10,5,5,5,5,5,5
Emisiuni TV,105,75,50,15,5,40,25,10
Evenimente,75,5,5,5,5,5,5,5
Oameni,15,10,10,5,5,5,5,5
События года,55,15,25,10,20,10,5,5
Мемы года,20,10,15,10,10,10,10,10
"Les requêtes ""Comment"" les plus populaires",15,15,5,15,5,5,5,10
Les requêtes les plus populaires,55,25,35,5,30,25,5,5
Les évènements les plus recherchés,55,20,20,20,15,15,10,10
Personnalités sénégalaises,35,5,35,5,5,5,5,5
Overall Searches,80,65,50,55,55,50,45,50
Political Figures,40,25,10,15,10,10,30,15
IT기기,70,60,5,35,5,5,5,5
TV 프로그램,25,20,25,20,20,20,20,20
경제,30,20,10,10,5,10,5,10
국제뉴스,65,20,25,5,10,5,10,5
기업,20,15,5,5,10,5,15,5
사회,20,15,15,10,5,10,5,5
소비재,55,15,40,5,15,5,5,5
음악,30,15,10,10,10,10,30,10
조리법,15,15,10,10,5,10,5,10
키즈,10,10,10,5,5,10,5,5
Los términos que más crecieron,20,20,5,20,5,5,5,20
Sökningar,15,10,15,10,10,10,10,10
Selfie,10,10,5,5,5,5,5,5
Artist/Grupp,35,15,10,10,10,10,5,10
Låttext - svensk,125,80,55,35,10,10,30,30
Låttext - engelsk,25,5,25,5,15,5,5,5
Film- & TV-personlighet,40,5,30,5,10,5,5,5
Idrottare,30,25,15,10,15,15,5,5
Kalorier,55,20,20,20,15,15,10,10
"Frågor som börjar med ""Vem...?""",25,15,10,15,10,5,5,5
Schweizer Promis,15,15,10,10,10,10,10,10
Berggipfel,100,10,90,10,10,10,15,10
Was sind...?,60,35,35,35,35,15,20,25
Wie macht...?,30,20,10,10,5,10,5,5
Schweizer Seen,15,10,10,5,5,10,10,5
快速竄升政治人物,55,35,20,30,10,20,15,25
快速竄升政治與社會議題,30,10,20,5,5,10,5,5
快速竄升關鍵字,40,30,40,30,35,30,35,30
快速竄升電影,80,65,35,60,30,35,30,60
快速竄升電視劇,135,25,20,15,20,15,25,15
Thai News,55,50,35,15,10,35,5,10
Movies of 2015,45,25,15,20,20,10,15,5
Songs of 2015,70,10,30,5,35,10,5,5
Kişi,15,10,10,10,10,10,10,10
TV Programları,30,20,20,5,10,10,10,5
Yükselen Genel Aramalar,60,30,35,30,5,5,20,10
Overall Trending Searches,55,40,25,20,20,20,25,20
Запит року,25,15,15,15,10,10,5,10
Навіщо?,20,10,15,10,5,5,5,10
Персона року,340,255,55,25,30,40,25,25
Покупка,55,25,35,20,30,25,35,20
ТВ-шоу року,40,25,25,20,20,20,25,20
Female Celebrities,40,35,30,30,10,25,5,5
Hits,30,5,20,5,25,5,5,5
Holiday Destinations,25,10,5,5,10,5,5,5
Male Celebrities,50,45,45,5,5,45,5,5
Premier League Football,30,20,25,20,5,20,5,20
TV Stars,55,45,15,10,5,10,5,5
When is...?,25,15,5,10,5,5,5,10
Beauty Questions,15,10,15,10,10,10,10,10
Celebrity Weddings,50,50,30,25,25,30,10,5
Dog Questions,70,45,35,25,15,30,30,10
Fashion Questions,135,25,110,10,10,10,110,10
GIF,55,35,20,15,35,5,15,10
Losses,100,70,90,70,75,70,70,70
Men's Soccer Players,20,15,10,15,10,10,10,15
Oscar Red Carpet Dresses,35,20,15,10,15,15,10,10
Travel Questions,20,15,10,10,10,10,10,10
WNBA Teams,120,115,20,95,15,20,10,80
Women's Soccer Players,30,10,20,10,20,10,15,10
Tìm kiếm Nổi bật Nhất 2015,70,50,45,20,60,40,10,15
Tin Quốc tế,35,20,15,15,10,15,10,5
Tin Trong nước,60,45,20,15,15,20,5,10
Nhân vật,55,40,25,30,20,25,20,15
Công thức,295,280,30,15,265,25,10,10
Chương trình Truyền hình,20,10,10,5,10,10,5,5
Phim,40,15,15,10,10,10,5,5
Sự kiện,10,10,10,10,10,10,10,10
Định nghĩa,55,55,10,10,10,10,55,10
Cuándo...,20,5,15,5,10,5,5,5
Overall Searches (Trending),55,15,25,15,10,10,20,10
News (Trending),60,55,20,15,20,15,10,10
Aussies (Trending),30,10,5,10,15,5,5,5
Global People (Trending),100,20,20,10,20,15,10,10
Loss (Trending),45,30,20,20,20,20,15,20
Sporting Events (Trending),65,25,10,15,10,10,20,15
Die Themen & Schlagzeilen des Jahres,10,5,5,5,5,5,5,5
Polit-Prominenz,75,15,30,10,10,5,5,5
Aufreger & Skandale,20,15,15,15,10,15,15,10
"Menschen, die wir vermissen",55,40,20,40,10,10,10,40
"Events, Shows & Festivals",15,10,10,5,5,10,5,5
Promis Österreich,20,10,15,10,15,10,10,10
Was,15,10,5,10,10,5,5,5
Wie,30,20,15,15,5,5,5,15
Самые популярные запросы,50,35,45,35,45,30,35,35
Trending gebeurtenissen / Les événements en progression,10,10,10,10,10,10,10,10
Trending internationale persoonlijkheden / Les personnalités internationales en progression,30,30,20,10,15,20,10,10
Trending politici / Les politiciens en progression,50,25,25,10,25,10,10,10
Trending TV-programma’s / Les programmes télé en progression,75,30,20,20,25,10,45,20
Trending zoekopdrachten ‘Hoe werkt…’,25,15,10,10,15,10,10,10
Trending zoekopdrachten ‘Wat is…’,35,15,15,10,15,15,10,10
Música (Artistas),75,15,60,5,5,5,5,5
Porque...,35,30,15,15,10,10,10,15
Canadian Athletes,100,80,5,5,5,5,5,5
Consumer Technology,60,15,10,5,5,5,10,5
What is?,55,25,30,15,15,10,25,10
Who is?,25,10,15,10,10,5,20,5
Cómo se hace...,20,15,5,15,20,5,10,5
Nos Dejaron...,20,20,5,20,5,5,5,5
Personajes Noticiosos,100,60,50,50,10,50,15,50
Series y TV,60,10,10,10,15,5,5,5
Tendencias 2016,90,80,65,60,40,60,25,60
Cómo hacer...,70,60,30,30,25,25,25,30
Gaming,70,45,20,20,20,20,20,20
Personajes,110,95,95,95,95,95,95,95
Qué pasa si...,70,35,35,35,25,35,35,20
Skokani roku,5,5,5,5,5,5,5,5
Zahraniční celebrity,10,10,5,5,5,5,5,5
Místní celebrity,30,15,25,5,10,15,15,5
Potraviny,55,5,40,5,40,5,5,5
Sportovní osobnosti,35,30,10,15,10,10,15,15
Co je,15,15,10,5,5,10,5,5
Kdo je,20,5,5,5,10,5,5,5
Danske personer,15,15,10,15,5,10,5,5
Udenlandske personer,75,60,30,55,45,25,45,45
Tv-programmer,50,20,30,10,5,10,10,5
Begivenheder,45,30,5,15,20,5,5,5
Opskrifter,10,10,5,5,5,5,5,5
المسلسلات,50,45,35,45,35,35,35,45
Yhteiskunnalliset aiheet,15,15,15,10,10,15,10,10
Ruoka,55,15,5,10,15,5,35,5
Bloggarit & Tubettajat,25,15,5,5,15,5,5,5
Haluatko miljonääriksi -kysymykset,15,15,15,15,5,15,5,15
Kaupalliset,70,25,40,25,55,25,25,20
Onko...?,25,10,15,10,10,10,15,10
TV-ohjelmat ja sarjat,25,10,10,10,5,5,5,5
Urheilutapahtumat,45,10,30,5,5,5,5,5
Les actualités,45,25,20,25,15,15,15,15
Comment ?,75,30,20,20,10,10,15,20
Les acteurs,30,10,15,10,15,5,5,5
Les chansons,5,5,5,5,5,5,5,5
Les films,55,40,30,35,35,30,30,25
Les jeux vidéos,75,30,35,10,25,10,15,5
Les personnalités de la TV,15,10,10,10,10,10,5,5
Les sportifs,60,35,25,20,20,20,30,20
Les séries,40,10,5,5,5,5,5,5
Les évènements sportifs,65,50,40,45,5,35,15,45
Promis national,75,35,55,35,35,35,15,30
Promis international,30,20,15,5,5,15,5,5
Abschiede,55,55,40,35,40,40,40,35
Fragen: Warum ...?,15,10,10,10,10,5,5,10
Fragen: Was ...?,790,770,765,765,10,765,5,5
Fragen: Wie ... ?,30,15,15,15,5,5,5,15
DEVICES,20,10,10,5,10,5,10,5
ENTERTAINERS,60,20,5,15,35,5,5,10
FOOTBALL TEAMS,20,5,5,5,10,5,10,5
GHANAIAN MUSICIANS,5,5,5,5,5,5,5,5
MOVIES / TV SHOWS,20,5,5,5,10,5,5,5
MUSIC,15,15,10,10,5,10,10,10
PEOPLE,65,65,15,10,15,15,10,10
STORIES,50,30,20,10,35,10,30,10
Γεγονότα – Διοργανώσεις,25,15,5,5,10,5,15,5
Διασημότητες,35,30,25,30,25,25,30,30
Σειρές και Τηλεοπτικά Προγράμματα,55,15,10,15,15,10,10,10
Τι σημαίνει,40,25,15,5,5,5,25,5
熱爆國際人物,25,25,5,5,5,5,10,5
熱爆電視節目,35,20,20,10,5,10,10,5
Felkapott...akarok,50,35,5,35,5,5,35,35
Felkapott...hol? hova?,80,10,65,10,65,5,5,5
Koncertek,30,5,15,5,15,5,5,5
Színházak,30,30,10,25,5,10,5,10
Bollywood Actor (Female),45,40,5,10,5,5,10,5
Bollywood Actor (Male),35,30,15,15,5,10,10,15
Atlet,55,30,20,30,25,10,20,25
Peristiwa Olahraga,40,10,20,5,10,10,5,5
Kepergian Tokoh,105,75,30,60,15,20,25,60
Bagaimana Cara,50,40,40,35,15,35,5,5
Dekat Sini,50,5,5,5,10,5,5,5
"Teknologi (Gim, Aplikasi, Gawai)",70,40,10,5,10,5,40,5
Top trending searches,55,35,50,30,20,30,15,30
News moments,75,40,55,35,35,20,15,35
Famous men,55,40,40,40,15,35,10,35
Famous women,30,10,10,10,15,10,10,10
Sports events,20,10,10,10,10,10,5,10
Sportspeople,25,15,10,15,5,5,10,10
Tech devices,35,25,15,20,20,10,10,10
When is,50,20,20,15,10,15,5,10
בחדשות,20,15,15,15,15,15,15,15
טלויזיה - סדרות,40,20,5,20,5,5,20,5
מוזיקה,45,15,10,15,15,10,10,15
ספורט,30,15,20,5,5,5,30,5
Eventi,115,55,80,35,40,30,45,35
Perché...,35,15,35,15,15,15,20,15
Cosa significa...,395,355,20,355,345,15,15,355
Come fare...,75,30,60,15,15,25,15,15
Mete vacanze,35,20,20,20,20,20,20,20
話題の人（故人）,25,15,10,5,5,10,10,5
Japan  （世界が検索した Japan ）,30,30,20,20,5,20,10,5
Tokyo  （世界が検索した Tokyo ）,75,45,15,30,35,10,10,30
General Trending Searches,115,55,20,35,10,15,45,35
"Trending ""How To"" Health Searches",60,25,25,15,5,5,5,5
"Trending ""How To"" Searches",30,30,10,10,10,10,20,10
"Trending ""What Is"" Searches",70,50,30,20,5,10,10,15
News (Berita),20,10,5,10,5,5,5,5
Malay Dramas (Drama Melayu),20,15,10,10,10,10,10,5
Local Celebs (Selebriti Tempatan),25,10,15,10,5,10,5,10
How to,70,55,35,25,25,35,30,20
Near me,50,45,45,40,40,45,40,40
Apakah,30,15,5,5,10,5,5,5
Bagaimana,55,25,15,10,10,5,5,10
Kenapa,125,65,65,65,45,5,5,15
Car models (Model kereta),55,30,35,10,5,10,5,10
Mobile devices (Peranti mudah alih),20,10,5,10,5,5,5,10
Futbolistas,140,10,70,10,10,10,10,10
In Memoriam,55,50,40,40,35,40,25,35
Juegos Olímpicos 2016,45,20,20,10,5,10,5,10
Personalidades,70,55,50,50,50,50,55,50
Series,40,10,5,10,5,5,5,10
Zoekopdrachten,60,50,35,50,35,30,25,30
Challenges,50,10,5,5,35,5,10,5
Eten,15,10,5,5,15,5,5,5
Kiwis (Trending),20,5,10,5,5,5,5,5
ACTORS,55,45,30,15,20,30,20,10
HOW TO,30,20,10,20,10,10,15,15
MOBILE PHONES,55,20,35,5,20,5,5,5
MOVIES / TV SERIES,25,15,5,10,15,5,10,10
PEOPLE IN SPORTS,25,15,15,10,5,5,20,5
RECIPES,60,55,35,40,20,35,35,35
SONGS,40,10,40,5,5,10,5,5
WHAT IS,15,15,10,10,5,10,10,10
Cantantes & Grupos Musicales,55,35,15,15,5,10,15,5
Novelas y Series,40,20,20,15,10,5,5,10
Partidos de Fútbol,50,35,15,25,25,5,10,25
Personajes de Actualidad,35,30,30,25,5,30,5,25
Top Trending Searches (Overall),60,45,50,25,5,35,10,10
Vacation Destinations (Local),15,5,5,5,10,5,5,5
Vacation Destinations (International),35,35,15,5,10,15,10,5
Najbardziej zyskujące na popularności,65,45,30,20,15,30,10,15
Jak...?,65,40,20,10,30,20,10,10
Piłkarze reprezentacji w piłce nożnej,45,5,10,5,25,5,10,5
Geral,35,35,20,20,20,20,20,20
Figuras Nacionais,150,35,135,20,15,25,5,5
Figuras internacionais,10,5,5,5,5,5,10,5
Jogadores de futebol,15,10,5,10,10,5,5,10
Como ser...,355,45,20,25,5,15,30,10
Elecciones 2016,35,10,10,10,10,10,10,10
Cine este...?,25,15,5,15,10,5,10,5
"Cum se, cum să...?",140,125,120,120,5,120,20,5
Căutări populare,45,25,30,25,40,25,40,25
Evenimentele anului 2016,30,10,10,5,15,10,5,5
Планы года (начать...),50,25,15,20,15,5,25,5
Российские фильмы,30,10,5,10,5,5,5,5
Туристические направления,40,10,5,5,10,5,5,5
Les questions “Comment” les plus populaires,10,5,10,5,5,5,10,5
Les questions “Que signifie” les plus populaires,55,40,5,20,10,5,20,20
Les recherches les plus populaires,10,5,5,5,10,5,10,5
Destinations,45,10,15,10,10,10,10,10
Top Searches in 2016,15,15,15,10,10,15,5,10
Domáce a svetové udalosti,10,5,5,5,5,5,10,5
Športové podujatia,25,10,20,10,10,10,10,10
Smutné odchody,35,30,30,25,20,30,25,25
South African Celebrities,10,5,5,5,5,5,5,5
South African Politicians and Prominent figures,40,25,5,10,5,5,10,10
South African TV Shows,60,40,20,5,55,5,20,5
IT,50,50,45,45,40,45,5,20
국내뉴스/사회,45,25,15,25,10,15,10,5
만화/웹툰,80,65,55,30,40,45,10,30
인물,45,35,15,15,15,10,15,10
Cómo ser...,15,10,10,10,10,5,5,5
Qué pasaría si...,20,15,10,15,20,5,5,15
Årets mest trendande sökningar 2016,35,10,25,5,5,5,10,5
"Frågor som börjar med ""Hur..?""",15,5,15,5,5,5,5,5
TV & Radio,50,25,30,20,20,20,25,15
"Frågor som börjar med ""Vem..?""",395,40,345,30,35,15,345,15
Artister/Grupper,35,25,10,25,5,5,15,20
Film- & TV-personligheter,20,15,5,5,10,5,10,5
"Frågor som börjar med ""Varför..?""",25,15,10,10,10,5,10,5
Filmer,30,10,10,10,5,10,10,5
"Frågor som börjar med ""Vad..?""",30,10,20,10,5,5,5,10
Skandale und Aufreger,60,50,10,50,5,5,5,50
Städte und Dörfer,20,15,15,10,10,15,5,5
Wie funktioniert...?,15,10,10,5,5,10,10,5
Wie mache...?,75,65,15,35,5,10,5,10
快速竄升議題,45,30,30,30,30,30,30,25
快速竄升人物,15,15,10,10,5,10,10,10
快速竄升明星,40,5,5,5,5,5,5,5
พระบาทสมเด็จพระปรมินทร มหาภูมิพลอดุลยเดช,50,35,25,10,35,25,5,10
คำค้นหายอดนิยมประจำปี,15,5,5,5,5,5,5,5
บุคคล,60,30,15,15,15,15,20,15
บุคคลที่ล่วงลับไปแล้ว,15,15,5,5,5,5,5,5
ข่าวต่างประเทศ,20,10,10,10,10,10,10,10
ข่าวในประเทศ,60,30,25,30,50,25,20,20
ความสวยความงาม,55,20,20,20,35,15,25,20
คืออะไร,30,10,10,10,5,10,10,10
ทีมกีฬา,45,20,15,5,10,5,10,5
นักกีฬา,25,15,5,15,10,5,20,15
ภาพยนตร์,65,25,65,15,15,25,25,15
ยานยนต์,80,65,35,5,5,35,5,5
ละคร,60,35,15,15,25,15,15,15
สถานที่ท่องเที่ยวต่างประเทศ,145,135,145,10,10,135,15,10
สถานที่ท่องเที่ยวในประเทศ,155,95,60,50,110,55,20,50
สูตรอาหาร,65,30,10,20,30,10,40,10
เกมส์,75,30,10,15,20,5,10,15
เพลง,105,35,30,30,25,30,30,30
แอปพลิเคชัน,25,15,15,15,5,10,5,5
โรคต่างๆ,75,60,30,55,10,25,45,10
ไอทีและแก็ดเจ็ต,30,15,15,5,10,5,10,5
Nedir?,20,5,5,5,5,5,5,5
Nasıl?,20,10,5,10,15,5,5,10
Diziler,20,20,5,10,5,5,10,10
Genel Aramalar,55,50,30,30,20,30,15,15
Yemek Tarifleri,35,10,5,10,10,5,15,5
Навіщо?/Зачем?,100,30,10,10,75,10,5,10
Що таке?/Что такое?,15,5,5,5,5,5,5,5
Top trending,45,20,20,15,5,10,10,15
News events,70,60,65,10,10,55,15,10
Beauty,95,60,5,10,5,5,35,5
Fashion questions,25,15,15,5,5,10,5,5
How to cook?,20,5,5,5,5,5,5,5
How to?,105,105,10,10,5,10,5,10
